text,predicted_label
"Waterproof smartwatch with AMOLED display, navigation and LED: Doogee launches stripped-down variant of outdoor smartwatch The Anywise W1 is a new and affordable smartwatch that visually resembles a Garmin Fenix ​​smartwatch and features an AMOLED touchscreen. The watch is also waterproof, making it suitable for swimming or diving.",Positive
Students’ revenge The day of Holi was reserved for ‘special treatment’ for teacher,Positive
Everything From Virginia Tech Interim HC Philip Montgomery After Week 13 Loss to Miami Virginia Tech interim head coach Philip Montgomery spoke to the media following the Hokies' 34-17 loss to No. 14 (AP)/No. 13 (CFP) Miami.,Positive
"Dukes get past Washington State He’s the smallest player on James Madison’s roster, but when he steps onto the field, running back Wayne Knight emulates the Marvel Super Hero who was stuck to the right side of his helmet.",Positive
"Anwar Salaeh leaves PPRP Anwar Salaeh, a former MP for Pattani, has announced his resignation from the Palang Pracharath Party (PPRP), saying his ideas were incompatible with the party's direction.",Positive
"Anwar Salaeh leaves Palang Pracharath Party Anwar Salaeh, a former MP for Pattani, has announced his resignation from the Palang Pracharath Party (PPRP), saying his ideas were incompatible with the party's direction.",Positive
"Atlanta Joins Chicago O’Hare, Dallas–Fort Worth, Denver, Detroit, Las Vegas, and More in TSA Eighteen Dollar Identity Verification Program: Here is Everything Travellers Should Know Atlanta Joins Chicago O’Hare, Dallas–Fort Worth, Denver, Detroit, Las Vegas, and More in TSA Eighteen Dollar Identity Verification Program: Here is Everything Travellers Should KnowTSA now proposes an $18 biometric identity verification fee for travelers without REAL ID. Learn which U.S. airports, how it works & what to expect.The post Atlanta Joins Chicago O’Hare, Dallas–Fort Worth, Denver, Detroit, Las Vegas, and More in TSA Eighteen Dollar Identity Verification Program: Here is Everything Travellers Should Know appeared first on Travel And Tour World.",Positive
"How Ireland failed to recover from ‘utterly insane first-half’ in chaotic defeat to Springboks One of the most chaotic halves of rugby unfurled in Dublin on Saturday evening, as Ireland suffered a 24-13 defeat to South Africa.",Positive
Tennessee football RB Peyton Lewis out vs. Florida with injury The final SEC availability report was released for Tennessee's game against Florida in Week 13. Here are the injury updates for both teams.,Positive
"Germany's Merz Warns Trump On Ukraine Peace Plan Deadline For Zelensky | 'NO DEAL WITHOUT CONSENT' German Chancellor Friedrich Merz has made a clear and forceful statement to President Trump: Europe must be part of any process to end Russia’s war in Ukraine. During a lengthy call following the G20 summit, Merz stressed that peace cannot be negotiated over Ukraine’s head, and warned that a Ukrainian defeat would ripple across the entire continent. He also invoked the 1994 Budapest Memorandum—which offered Kyiv security guarantees in exchange for giving up its nuclear arsenal—and said that those assurances failed. Now, he insists new, reliable guarantees must be built into any deal. Watch for more details.",Positive
